,Wake,Light,Deep,REM
1022,55,286,80,133
1023,47,193,76,86
1024,51,237,90,111
1025,56,266,38,99
1026,56,167,50,76
1027,49,229,64,86
1028,124,302,83,121
1029,66,325,88,103
1030,64,285,88,114
1031,74,342,64,120
1032,30,165,41,45
1033,0,0,0,0
1034,56,287,77,112
1035,44,288,68,108
1036,50,272,61,113
1037,50,317,101,154
1038,48,235,54,102
1039,46,250,107,113
1040,41,262,73,107
1041,37,242,94,63
1042,79,397,94,161
1043,28,215,47,108
1044,52,324,34,105
1045,25,172,80,91
1046,37,301,55,140
1047,41,199,40,84
1048,23,116,52,37
1049,74,268,78,112
1050,35,188,91,101
1051,66,239,112,122
1052,37,184,71,95
1053,87,324,91,114
1054,43,288,72,92
1055,0,0,0,0
1056,56,235,79,85
1057,52,313,61,84
1058,48,202,80,89
1059,57,305,56,63
1060,49,230,91,83
1061,53,298,77,133
1062,46,238,61,80
1063,39,178,82,84
1064,53,298,53,120
1065,49,196,64,113
1066,48,275,60,129
1067,40,273,53,80
1068,75,380,82,121
1069,67,337,107,143
1070,29,146,89,130
1071,52,238,53,108
1072,42,179,62,110
1073,61,256,55,106
1074,46,220,67,98
1075,29,251,89,138
1076,47,270,83,74
1077,0,0,0,0
1078,58,258,25,92
1079,35,194,60,92
1080,59,246,94,134
1081,63,191,39,65
1082,61,321,73,112
1083,35,199,28,89
1084,70,362,74,132
1085,41,210,38,82
1086,66,311,59,81
1087,66,345,84,148
1088,0,0,0,0
1089,39,187,37,56
1090,49,324,100,157
1091,0,0,0,0
1092,49,246,67,65
1093,79,379,72,112
1094,64,248,83,98
1095,78,294,58,72
1096,70,324,113,172
1097,48,395,74,150
1098,26,199,40,88
1099,97,329,15,47
1100,91,386,97,136
1101,47,271,62,92
1102,42,271,74,121
1103,40,263,73,73
1104,41,249,40,92
1105,67,316,69,111
1106,75,313,94,96
1107,45,265,83,112
1108,69,296,68,104
1109,73,353,95,121
1110,25,172,80,91
1111,34,282,63,107
1112,66,276,73,131
1113,54,281,69,139
1114,51,310,57,87
